Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
javacpp,org.bytedeco.javacpp,ClassProperties,load,Complex Conditional,The conditional expression (i < 2 && platform.startsWith(s)) || (s.length() > 0 && platform.matches(s)) is complex.,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Complex Conditional,The conditional expression (names[0].length == 0 || matches[0]) && (names[1].length == 0 || !matches[1]) && (names[2].length == 0 || matches[2]) is complex.,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Complex Conditional,The conditional expression platformExtension != null && platformExtension.length() > 0 && platformExtension.endsWith(s) is complex.,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Complex Method,Cyclomatic complexity of the method is 60,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Long Method,The method has 230 lines of code.,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Long Statement,The length of the statement "while (!c.isAnnotationPresent(org.bytedeco.javacpp.annotation.Properties.class) && !c.isAnnotationPresent(Platform.class) && c.getSuperclass() != null && c.getSuperclass() != Object.class && c.getSuperclass() != Pointer.class) {" is 228.,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Long Statement,The length of the statement "org.bytedeco.javacpp.annotation.Properties classProperties=c.getAnnotation(org.bytedeco.javacpp.annotation.Properties.class);" is 125.,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Long Statement,The length of the statement "boolean hasPlatformProperties=platforms != null && platforms.length > (classProperties != null && classPlatform != null ? 1 : 0);" is 129.,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Long Statement,The length of the statement "String[] pragma={}` define={}` exclude={}` include={}` cinclude={}` includepath={}` includeresource={}` compiler={}` linkpath={}` linkresource={}` link={}` frameworkpath={}` framework={}` preloadpath={}` preloadresource={}` preload={}` resourcepath={}` resource={}` extension={}` executablepath={}` executable={};" is 313.,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Long Statement,The length of the statement "if ((names[0].length == 0 || matches[0]) && (names[1].length == 0 || !matches[1]) && (names[2].length == 0 || matches[2])) {" is 124.,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Magic Number,The method contains a magic number: 2,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Magic Number,The method contains a magic number: 2,136
javacpp,org.bytedeco.javacpp,ClassProperties,load,Magic Number,The method contains a magic number: 2,136
javacpp,org.bytedeco.javacpp,DoublePointer,DoublePointer,Complex Conditional,The conditional expression buffer != null && !buffer.isDirect() && buffer.hasArray() is complex.,58
javacpp,org.bytedeco.javacpp,DoublePointer,DoublePointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new DoublePointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 190.,75
javacpp,org.bytedeco.javacpp,BytePointer,BytePointer,Complex Conditional,The conditional expression buffer != null && !buffer.isDirect() && buffer.hasArray() is complex.,102
javacpp,org.bytedeco.javacpp,BytePointer,BytePointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new BytePointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 188.,119
javacpp,org.bytedeco.javacpp,BytePointer,getUnsigned,Magic Number,The method contains a magic number: 0xFF,298
javacpp,org.bytedeco.javacpp,Loader,loadProperties,Complex Conditional,The conditional expression !forceReload && platformProperties != null && name.equals(platformProperties.getProperty("platform")) is complex.,171
javacpp,org.bytedeco.javacpp,Loader,loadProperties,Complex Conditional,The conditional expression key != null && value != null && key.startsWith("org.bytedeco.javacpp.platform.") is complex.,185
javacpp,org.bytedeco.javacpp,Loader,loadProperties,Empty catch clause,The method has an empty catch block.,185
javacpp,org.bytedeco.javacpp,Loader,checkVersion,Magic Number,The method contains a magic number: 2,255
javacpp,org.bytedeco.javacpp,Loader,checkVersion,Complex Conditional,The conditional expression !matches && logWarnings && isLoadLibraries() is complex.,260
javacpp,org.bytedeco.javacpp,Loader,checkVersion,Long Parameter List,The method has 5 parameters. ,260
javacpp,org.bytedeco.javacpp,Loader,checkVersion,Long Statement,The length of the statement "logger.warn("Versions of org.bytedeco:javacpp:" + javacppVersion + " and "+ groupId+ ":"+ artifactId+ ":"+ version+ " do not match.");" is 134.,260
javacpp,org.bytedeco.javacpp,Loader,checkVersion,Magic Number,The method contains a magic number: 2,260
javacpp,org.bytedeco.javacpp,Loader,getVersion,Magic Number,The method contains a magic number: 2,294
javacpp,org.bytedeco.javacpp,Loader,getVersion,Long Statement,The length of the statement "InputStream is=cls.getClassLoader().getResourceAsStream("META-INF/maven/" + groupId + "/"+ artifactId+ "/pom.properties");" is 122.,299
javacpp,org.bytedeco.javacpp,Loader,getEnclosingClass,Complex Conditional,The conditional expression p.pragma().length > 0 || p.define().length > 0 || p.exclude().length > 0 || p.include().length > 0 || p.cinclude().length > 0 || p.includepath().length > 0 || p.includeresource().length > 0 || p.compiler().length > 0 || p.linkpath().length > 0 || p.linkresource().length > 0 || p.link().length > 0 || p.frameworkpath().length > 0 || p.framework().length > 0 || p.preloadresource().length > 0 || p.preloadpath().length > 0 || p.preload().length > 0 || p.resourcepath().length > 0 || p.resource().length > 0 || p.library().length() > 0 is complex.,325
javacpp,org.bytedeco.javacpp,Loader,getEnclosingClass,Long Statement,The length of the statement "if (p.pragma().length > 0 || p.define().length > 0 || p.exclude().length > 0 || p.include().length > 0 || p.cinclude().length > 0 || p.includepath().length > 0 || p.includeresource().length > 0 || p.compiler().length > 0 || p.linkpath().length > 0 || p.linkresource().length > 0 || p.link().length > 0 || p.frameworkpath().length > 0 || p.framework().length > 0 || p.preloadresource().length > 0 || p.preloadpath().length > 0 || p.preload().length > 0 || p.resourcepath().length > 0 || p.resource().length > 0 || p.library().length() > 0) {" is 540.,325
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Magic Number,The method contains a magic number: 2,430
javacpp,org.bytedeco.javacpp,Loader,cacheResources,Magic Number,The method contains a magic number: 2,454
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Conditional,The conditional expression splitURL.length > 1 && splitURL[1] != null && splitURL[1].length() > 0 is complex.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Conditional,The conditional expression canCreateSymbolicLink && target != null && target.length() > 0 is complex.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Conditional,The conditional expression (!file.exists() || !Files.isSymbolicLink(path) || !Files.readSymbolicLink(path).equals(targetPath)) && targetPath.isAbsolute() && !targetPath.equals(path)&& !targetPath.toRealPath().equals(path) is complex.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Conditional,The conditional expression (!file.exists() || !Files.isSymbolicLink(path) || !Files.readSymbolicLink(path).equals(targetPath)) && targetPath.isAbsolute() && !targetPath.equals(path)&& !targetPath.toRealPath().equals(path) is complex.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Conditional,The conditional expression canCreateSymbolicLink && urlFile.exists() && reference is complex.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Conditional,The conditional expression (!file.exists() || !Files.isSymbolicLink(path) || !Files.readSymbolicLink(path).equals(urlPath)) && urlPath.isAbsolute() && !urlPath.equals(path)&& !urlPath.toRealPath().equals(path) is complex.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Conditional,The conditional expression (!file.exists() || !Files.isSymbolicLink(path) || !Files.readSymbolicLink(path).equals(urlPath)) && urlPath.isAbsolute() && !urlPath.equals(path)&& !urlPath.toRealPath().equals(path) is complex.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Conditional,The conditional expression !file.exists() || file.length() != size || file.lastModified() != timestamp || (canCreateSymbolicLink && !cacheSubdir.equals(Loader.getCanonicalFile(file).getParentFile())) is complex.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Conditional,The conditional expression !file.exists() || file.length() != size || file.lastModified() != timestamp || (canCreateSymbolicLink && !cacheSubdir.equals(Loader.getCanonicalFile(file).getParentFile())) is complex.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Complex Method,Cyclomatic complexity of the method is 34,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Long Method,The method has 200 lines of code.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Long Statement,The length of the statement "if ((!file.exists() || !Files.isSymbolicLink(path) || !Files.readSymbolicLink(path).equals(targetPath)) && targetPath.isAbsolute() && !targetPath.equals(path)&& !targetPath.toRealPath().equals(path)) {" is 201.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Long Statement,The length of the statement "if ((!file.exists() || !Files.isSymbolicLink(path) || !Files.readSymbolicLink(path).equals(targetPath)) && targetPath.isAbsolute() && !targetPath.equals(path)&& !targetPath.toRealPath().equals(path)) {" is 201.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Long Statement,The length of the statement "if ((!file.exists() || !Files.isSymbolicLink(path) || !Files.readSymbolicLink(path).equals(urlPath)) && urlPath.isAbsolute() && !urlPath.equals(path)&& !urlPath.toRealPath().equals(path)) {" is 189.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Long Statement,The length of the statement "if ((!file.exists() || !Files.isSymbolicLink(path) || !Files.readSymbolicLink(path).equals(urlPath)) && urlPath.isAbsolute() && !urlPath.equals(path)&& !urlPath.toRealPath().equals(path)) {" is 189.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Long Statement,The length of the statement "if (!file.exists() || file.length() != size || file.lastModified() != timestamp || (canCreateSymbolicLink && !cacheSubdir.equals(Loader.getCanonicalFile(file).getParentFile()))) {" is 179.,486
javacpp,org.bytedeco.javacpp,Loader,cacheResource,Long Statement,The length of the statement "if (!file.exists() || file.length() != size || file.lastModified() != timestamp || (canCreateSymbolicLink && !cacheSubdir.equals(Loader.getCanonicalFile(file).getParentFile()))) {" is 179.,486
javacpp,org.bytedeco.javacpp,Loader,extractResource,Magic Number,The method contains a magic number: 2,708
javacpp,org.bytedeco.javacpp,Loader,extractResource,Long Parameter List,The method has 5 parameters. ,719
javacpp,org.bytedeco.javacpp,Loader,extractResources,Magic Number,The method contains a magic number: 2,732
javacpp,org.bytedeco.javacpp,Loader,extractResources,Long Parameter List,The method has 5 parameters. ,743
javacpp,org.bytedeco.javacpp,Loader,extractResource,Complex Conditional,The conditional expression !cacheDirectory || !file.exists() || file.length() != entrySize || file.lastModified() != entryTimestamp || (canCreateSymbolicLink && !file.equals(Loader.getCanonicalFile(file))) is complex.,766
javacpp,org.bytedeco.javacpp,Loader,extractResource,Complex Method,Cyclomatic complexity of the method is 16,766
javacpp,org.bytedeco.javacpp,Loader,extractResource,Long Parameter List,The method has 5 parameters. ,766
javacpp,org.bytedeco.javacpp,Loader,extractResource,Long Statement,The length of the statement "else if (!cacheDirectory || !file.exists() || file.length() != entrySize || file.lastModified() != entryTimestamp || (canCreateSymbolicLink && !file.equals(Loader.getCanonicalFile(file)))) {" is 190.,766
javacpp,org.bytedeco.javacpp,Loader,extractResource,Magic Number,The method contains a magic number: 2,766
javacpp,org.bytedeco.javacpp,Loader,extractResource,Magic Number,The method contains a magic number: 64,766
javacpp,org.bytedeco.javacpp,Loader,extractResource,Magic Number,The method contains a magic number: 1024,766
javacpp,org.bytedeco.javacpp,Loader,findResources,Complex Method,Cyclomatic complexity of the method is 12,881
javacpp,org.bytedeco.javacpp,Loader,findResources,Magic Number,The method contains a magic number: 2,881
javacpp,org.bytedeco.javacpp,Loader,getCacheDir,Complex Conditional,The conditional expression (f.exists() || f.mkdirs()) && f.canRead() && f.canWrite()&& f.canExecute() is complex.,1003
javacpp,org.bytedeco.javacpp,Loader,getCacheDir,Long Statement,The length of the statement "String[] dirNames={System.getProperty("org.bytedeco.javacpp.cachedir")`System.getProperty("org.bytedeco.javacpp.cacheDir")`System.getProperty("user.home") + "/.javacpp/cache/"`System.getProperty("java.io.tmpdir") + "/.javacpp-" + System.getProperty("user.name")+ "/cache/"};" is 274.,1003
javacpp,org.bytedeco.javacpp,Loader,getTempDir,Magic Number,The method contains a magic number: 1000,1031
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Complex Method,Cyclomatic complexity of the method is 13,1069
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Long Statement,The length of the statement "while (!cls.isAnnotationPresent(org.bytedeco.javacpp.annotation.Properties.class) && !cls.isAnnotationPresent(Platform.class) && cls.getSuperclass() != null) {" is 159.,1069
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Long Statement,The length of the statement "org.bytedeco.javacpp.annotation.Properties classProperties=cls.getAnnotation(org.bytedeco.javacpp.annotation.Properties.class);" is 127.,1069
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Complex Conditional,The conditional expression (i < 2 && platform2.startsWith(s)) || (s.length() > 0 && platform2.matches(s)) is complex.,1129
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Complex Conditional,The conditional expression (names[0].length == 0 || matches[0]) && (names[1].length == 0 || !matches[1]) && (names[2].length == 0 || matches[2]) is complex.,1129
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Complex Conditional,The conditional expression platformExtension != null && platformExtension.length() > 0 && platformExtension.endsWith(s) is complex.,1129
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Complex Method,Cyclomatic complexity of the method is 9,1129
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Long Statement,The length of the statement "if ((names[0].length == 0 || matches[0]) && (names[1].length == 0 || !matches[1]) && (names[2].length == 0 || matches[2])) {" is 124.,1129
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Magic Number,The method contains a magic number: 2,1129
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Magic Number,The method contains a magic number: 2,1129
javacpp,org.bytedeco.javacpp,Loader,checkPlatform,Magic Number,The method contains a magic number: 2,1129
javacpp,org.bytedeco.javacpp,Loader,load,Complex Method,Cyclomatic complexity of the method is 8,1165
javacpp,org.bytedeco.javacpp,Loader,load,Magic Number,The method contains a magic number: 2,1208
javacpp,org.bytedeco.javacpp,Loader,load,Magic Number,The method contains a magic number: 2,1212
javacpp,org.bytedeco.javacpp,Loader,load,Complex Conditional,The conditional expression cacheDir != null && filename != null && filename.startsWith(cacheDir) is complex.,1236
javacpp,org.bytedeco.javacpp,Loader,load,Complex Conditional,The conditional expression cacheDir != null && filename != null && filename.startsWith(cacheDir) is complex.,1236
javacpp,org.bytedeco.javacpp,Loader,load,Complex Method,Cyclomatic complexity of the method is 39,1236
javacpp,org.bytedeco.javacpp,Loader,load,Empty catch clause,The method has an empty catch block.,1236
javacpp,org.bytedeco.javacpp,Loader,load,Long Method,The method has 180 lines of code.,1236
javacpp,org.bytedeco.javacpp,Loader,load,Long Statement,The length of the statement "return executable != null ? executablePaths.get(executable) : executablePaths.size() > 0 ? executablePaths.values().iterator().next() : null;" is 141.,1236
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Complex Conditional,The conditional expression libpath.length() > 0 && (pathsFirst || !isLoadLibraries() || reference) is complex.,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Complex Method,Cyclomatic complexity of the method is 27,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Long Method,The method has 132 lines of code.,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Long Statement,The length of the statement "styles2=new String[]{prefix + libname2 + suffix+ version2`prefix + libname2 + version2+ suffix`prefix + libname2 + suffix};" is 123.,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Long Statement,The length of the statement "String subdir=libraryPath.length() > 0 && libraryPath.equals(resource) ? "/" + libraryPath : (resource == null ? "" : "/" + resource) + platform + (extension == null ? "" : extension);" is 184.,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 3,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 3,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 3,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 3,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 3,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 2,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 3,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 3,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 3,1460
javacpp,org.bytedeco.javacpp,Loader,findLibrary,Magic Number,The method contains a magic number: 2,1460
javacpp,org.bytedeco.javacpp,Loader,loadLibrary,Magic Number,The method contains a magic number: 2,1625
javacpp,org.bytedeco.javacpp,Loader,loadLibrary,Complex Conditional,The conditional expression canCreateSymbolicLink && dir2 != null && !dir2.equals(dir) is complex.,1644
javacpp,org.bytedeco.javacpp,Loader,loadLibrary,Complex Conditional,The conditional expression (!linkFile.exists() || !Files.isSymbolicLink(linkPath) || !Files.readSymbolicLink(linkPath).equals(targetPath)) && targetPath.isAbsolute() && !targetPath.equals(linkPath)&& !targetPath.toRealPath().equals(linkPath) is complex.,1644
javacpp,org.bytedeco.javacpp,Loader,loadLibrary,Complex Method,Cyclomatic complexity of the method is 36,1644
javacpp,org.bytedeco.javacpp,Loader,loadLibrary,Long Method,The method has 199 lines of code.,1644
javacpp,org.bytedeco.javacpp,Loader,loadLibrary,Long Statement,The length of the statement "if ((!linkFile.exists() || !Files.isSymbolicLink(linkPath) || !Files.readSymbolicLink(linkPath).equals(targetPath)) && targetPath.isAbsolute() && !targetPath.equals(linkPath)&& !targetPath.toRealPath().equals(linkPath)) {" is 221.,1644
javacpp,org.bytedeco.javacpp,Loader,loadLibrary,Long Statement,The length of the statement "logger.warn("Unable to load the library " + libnameversion2 + " within the ClassLoader scope of "+ cls.getName()+ " because: "+ target.getMessage());" is 149.,1644
javacpp,org.bytedeco.javacpp,Loader,loadLibrary,Long Statement,The length of the statement "logger.warn("Unable to load the library " + libname + " within the ClassLoader scope of "+ cls.getName()+ " because: "+ target.getMessage());" is 141.,1644
javacpp,org.bytedeco.javacpp,Loader,createLibraryLink,Complex Conditional,The conditional expression canCreateSymbolicLink && link != null && link.length() > 0 is complex.,1864
javacpp,org.bytedeco.javacpp,Loader,createLibraryLink,Complex Conditional,The conditional expression (!linkFile.exists() || !Files.isSymbolicLink(linkPath) || !Files.readSymbolicLink(linkPath).equals(targetPath)) && !targetPath.isAbsolute() && !targetPath.equals(linkPath.getFileName()) is complex.,1864
javacpp,org.bytedeco.javacpp,Loader,createLibraryLink,Complex Conditional,The conditional expression (!linkFile2.exists() || !Files.isSymbolicLink(linkPath2) || !Files.readSymbolicLink(linkPath2).equals(relativeTarget)) && !relativeTarget.isAbsolute() && !relativeTarget.equals(linkPath2.getFileName()) is complex.,1864
javacpp,org.bytedeco.javacpp,Loader,createLibraryLink,Complex Method,Cyclomatic complexity of the method is 20,1864
javacpp,org.bytedeco.javacpp,Loader,createLibraryLink,Long Statement,The length of the statement "if ((!linkFile.exists() || !Files.isSymbolicLink(linkPath) || !Files.readSymbolicLink(linkPath).equals(targetPath)) && !targetPath.isAbsolute() && !targetPath.equals(linkPath.getFileName())) {" is 192.,1864
javacpp,org.bytedeco.javacpp,Loader,createLibraryLink,Long Statement,The length of the statement "if ((!linkFile2.exists() || !Files.isSymbolicLink(linkPath2) || !Files.readSymbolicLink(linkPath2).equals(relativeTarget)) && !relativeTarget.isAbsolute() && !relativeTarget.equals(linkPath2.getFileName())) {" is 208.,1864
javacpp,org.bytedeco.javacpp,Loader,putMemberOffset,Long Statement,The length of the statement "Class<?> c=Class.forName(typeName.replace('/'`'.')`false`context != null ? context.getClassLoader() : Loader.class.getClassLoader());" is 133.,1971
javacpp,org.bytedeco.javacpp,SizeTPointer,SizeTPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new SizeTPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 189.,62
javacpp,org.bytedeco.javacpp,LongPointer,LongPointer,Complex Conditional,The conditional expression buffer != null && !buffer.isDirect() && buffer.hasArray() is complex.,58
javacpp,org.bytedeco.javacpp,LongPointer,LongPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new LongPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 188.,75
javacpp,org.bytedeco.javacpp,IntPointer,IntPointer,Complex Conditional,The conditional expression buffer != null && !buffer.isDirect() && buffer.hasArray() is complex.,68
javacpp,org.bytedeco.javacpp,IntPointer,IntPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new IntPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 187.,85
javacpp,org.bytedeco.javacpp,IntPointer,getStringCodePoints,Magic Number,The method contains a magic number: 16,130
javacpp,org.bytedeco.javacpp,IntPointer,getStringCodePoints,Magic Number,The method contains a magic number: 2,130
javacpp,org.bytedeco.javacpp,CLongPointer,CLongPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new CLongPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 189.,63
javacpp,org.bytedeco.javacpp,BooleanPointer,BooleanPointer,Complex Conditional,The conditional expression buffer != null && !buffer.isDirect() && buffer.hasArray() is complex.,60
javacpp,org.bytedeco.javacpp,BooleanPointer,BooleanPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new BooleanPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 191.,79
javacpp,org.bytedeco.javacpp,BoolPointer,BoolPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new BoolPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 188.,52
javacpp,org.bytedeco.javacpp,CharPointer,CharPointer,Complex Conditional,The conditional expression buffer != null && !buffer.isDirect() && buffer.hasArray() is complex.,68
javacpp,org.bytedeco.javacpp,CharPointer,CharPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new CharPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 188.,85
javacpp,org.bytedeco.javacpp,CharPointer,getStringChars,Magic Number,The method contains a magic number: 16,130
javacpp,org.bytedeco.javacpp,CharPointer,getStringChars,Magic Number,The method contains a magic number: 2,130
javacpp,org.bytedeco.javacpp,PointerPointer,PointerPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new PointerPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 191.,136
javacpp,org.bytedeco.javacpp,FloatPointer,FloatPointer,Complex Conditional,The conditional expression buffer != null && !buffer.isDirect() && buffer.hasArray() is complex.,58
javacpp,org.bytedeco.javacpp,FloatPointer,FloatPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new FloatPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 189.,75
javacpp,org.bytedeco.javacpp,ShortPointer,ShortPointer,Complex Conditional,The conditional expression buffer != null && !buffer.isDirect() && buffer.hasArray() is complex.,58
javacpp,org.bytedeco.javacpp,ShortPointer,ShortPointer,Long Statement,The length of the statement "OutOfMemoryError e2=new OutOfMemoryError("Cannot allocate new ShortPointer(" + size + "): "+ "totalBytes = "+ formatBytes(totalBytes())+ "` physicalBytes = "+ formatBytes(physicalBytes()));" is 189.,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Magic Number,The method contains a magic number: 2f,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Magic Number,The method contains a magic number: 3f,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Magic Number,The method contains a magic number: 2,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Magic Number,The method contains a magic number: 5f,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Magic Number,The method contains a magic number: 3,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Magic Number,The method contains a magic number: 6f,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Magic Number,The method contains a magic number: 4,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Magic Number,The method contains a magic number: 7f,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexI,Magic Number,The method contains a magic number: 5,75
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 11f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 21f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 31f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 2,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 51f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 3,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 61f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 4,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 71f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 5,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 12f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 22f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 32f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 2,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 52f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 3,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 62f,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 4,85
javacpp,org.bytedeco.javacpp.indexer,HyperslabIndexTest,testIndexIJ,Magic Number,The method contains a magic number: 72f,85
